adflss;ULA com PF
bvs;Desvios
bge;Desvios
rsbsmi;ULA
stcvc;Coprocessadores
strcc;Acesso à memória
ldrbtcc;Acesso à memória
adcseq;ULA
rsbcs;ULA
mrrcls;Coprocessadores
smlaldeq;Coprocessadores
blne;Desvios
tsthi;ULA
svcvc;Modo supervisor
blvs;Desvios
cdpvs;Coprocessadores
cfmadd32pl;Coprocessadores
ldcne;Coprocessadores
strbtge;Acesso à memória
movwle;ULA
mrsls;Coprocessadores
mrrcvc;Coprocessadores
stfeqs;Acesso a memória com PF
strvs;Acesso à memória
stclcc;Coprocessadores
